Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Auvergne-RhÃ´ne-Alpes,Eolien onshore,100111,100111,"0,8",-,-,8
Bourgogne-Franche-ComtÃ©,Eolien onshore,224972,224972,"0,94",-,-,7
Bretagne,Eolien onshore,201351,201351,"0,9",-,-,6
Centre-Val de Loire,Eolien onshore,302360,302360,"0,89",-,-,4
Grand Est,Eolien onshore,810164,810164,"0,8",-,-,10
Haut-de-France,Eolien onshore,1041909,1041909,"0,78",-,-,16
ÃŽle-de-France,Eolien onshore,25926,25926,"0,98",-,-,3
Normandie,Eolien onshore,209415,209415,"0,72",-,-,5
Nouvelle-Aquitaine,Eolien onshore,300141,300141,"0,73",-,-,6
Occitanie,Eolien onshore,268759,268759,"0,73",-,-,6
Pays de la Loire,Eolien onshore,270744,270744,"0,74",-,-,5
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,15361,15361,"0,75",-,-,3
Auvergne-RhÃ´ne-Alpes,Hydraulique,148216,148216,"0,82",-,-,6
Bourgogne-Franche-ComtÃ©,Hydraulique,31949,31949,"0,78",-,-,2
Bretagne,Hydraulique,4158,4158,"0,76",-,-,2
Centre-Val de Loire,Hydraulique,4819,4819,"0,78",-,-,2
Grand Est,Hydraulique,40183,40183,"0,78",-,-,5
Haut-de-France,Hydraulique,1508,1508,"0,71",-,-,1
ÃŽle-de-France,Hydraulique,453,453,"0,71",-,-,1
Normandie,Hydraulique,8002,8002,"0,71",-,-,1
Nouvelle-Aquitaine,Hydraulique,107579,107579,"0,93",-,-,5
Occitanie,Hydraulique,176544,176544,"0,77",-,-,5
Pays de la Loire,Hydraulique,2475,2475,"0,71",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,23001,23001,"0,75",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,25756,25756,"0,98",-,-,6
Bourgogne-Franche-ComtÃ©,Solaire,5458,5458,"0,71",-,-,1
Bretagne,Solaire,1835,1835,"0,96",-,-,2
Centre-Val de Loire,Solaire,7131,7131,"0,95",-,-,3
Grand Est,Solaire,8099,8099,"0,87",-,-,4
Haut-de-France,Solaire,2897,2897,"1,01",-,-,2
ÃŽle-de-France,Solaire,1194,1194,"1,05",-,-,4
Normandie,Solaire,1657,1657,"0,94",-,-,1
Nouvelle-Aquitaine,Solaire,94535,94535,"0,79",-,-,11
Occitanie,Solaire,80219,80219,"0,82",-,-,8
Pays de la Loire,Solaire,6877,6877,"1,09",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,73182,73182,"1,11",-,-,9
