Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Normandie,Hydraulique,4956,4956,"0,39",-,-,1
Nouvelle-Aquitaine,Hydraulique,78781,78781,"0,38",-,-,6
Occitanie,Hydraulique,149888,149888,"0,33",-,-,3
Pays de la Loire,Hydraulique,2283,2283,"0,47",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,28994,28994,"0,39",-,-,3
Auvergne-Rhône-Alpes,Solaire,54362,54362,"0,5",-,-,9
Bourgogne-Franche-Comté,Solaire,13980,13980,"0,52",-,-,1
Bretagne,Solaire,4705,4705,"0,52",-,-,2
Centre-Val de Loire,Solaire,16348,16348,"0,48",-,-,6
Grand Est,Solaire,26835,26835,"0,43",-,-,5
Haut-de-France,Solaire,6094,6094,"0,44",-,-,4
Île-de-France,Solaire,3487,3487,"0,58",-,-,4
Normandie,Solaire,6442,6442,"0,52",-,-,1
Nouvelle-Aquitaine,Solaire,178506,178506,"0,41",-,-,10
Occitanie,Solaire,128062,128062,"0,38",-,-,10
Pays de la Loire,Solaire,21035,21035,"0,55",-,-,5
Provence-Alpes-Côte d'Azur,Solaire,118279,118279,"0,32",-,-,9
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,69153,69153,"0,56",-,-,5
Bourgogne-Franche-Comté,Eolien onshore,120448,120448,"0,51",-,-,6
Bretagne,Eolien onshore,107028,107028,"0,51",-,-,6
Centre-Val de Loire,Eolien onshore,167025,167025,"0,54",-,-,6
Grand Est,Eolien onshore,426708,426708,"0,44",-,-,9
Haut-de-France,Eolien onshore,518006,518006,"0,41",-,-,14
Île-de-France,Eolien onshore,15253,15253,"0,46",-,-,2
Normandie,Eolien onshore,86646,86646,"0,39",-,-,6
Nouvelle-Aquitaine,Eolien onshore,128321,128321,"0,39",-,-,5
Occitanie,Eolien onshore,175668,175668,"0,39",-,-,5
Pays de la Loire,Eolien onshore,136789,136789,"0,43",-,-,6
Provence-Alpes-Côte d'Azur,Eolien onshore,3196,3196,"0,38",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,114925,114925,"0,46",-,-,6
Bourgogne-Franche-Comté,Hydraulique,12847,12847,"0,42",-,-,3
Bretagne,Hydraulique,1211,1211,"0,42",-,-,2
Centre-Val de Loire,Hydraulique,956,956,"0,42",-,-,2
Grand Est,Hydraulique,17858,17858,"0,53",-,-,4
Haut-de-France,Hydraulique,1170,1170,"0,43",-,-,2
Île-de-France,Hydraulique,505,505,"0,53",-,-,2
Normandie,Hydraulique,2110,2110,"0,41",-,-,1
Nouvelle-Aquitaine,Hydraulique,52596,52596,"0,43",-,-,4
Occitanie,Hydraulique,102446,102446,"0,45",-,-,6
Pays de la Loire,Hydraulique,1417,1417,"0,41",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,36886,36886,"0,46",-,-,3
Auvergne-Rhône-Alpes,Solaire,65306,65306,"0,53",-,-,10
Bourgogne-Franche-Comté,Solaire,19558,19558,"0,44",-,-,4
Bretagne,Solaire,6628,6628,"0,4",-,-,4
Centre-Val de Loire,Solaire,21117,21117,"0,48",-,-,6
Grand Est,Solaire,35973,35973,"0,44",-,-,8
Haut-de-France,Solaire,8325,8325,"0,45",-,-,3
Île-de-France,Solaire,4813,4813,"0,5",-,-,5
Normandie,Solaire,9030,9030,"0,47",-,-,3
Nouvelle-Aquitaine,Solaire,220667,220667,"0,39",-,-,11
Occitanie,Solaire,148481,148481,"0,42",-,-,10
Pays de la Loire,Solaire,27902,27902,"0,53",-,-,6
Provence-Alpes-Côte d'Azur,Solaire,116778,116778,"0,52",-,-,12
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,66324,66324,"0,41",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,158434,158434,"0,49",-,-,6
Bretagne,Eolien onshore,146450,146450,"0,46",-,-,7
Centre-Val de Loire,Eolien onshore,230362,230362,"0,42",-,-,7
Grand Est,Eolien onshore,629280,629280,"0,41",-,-,8
Haut-de-France,Eolien onshore,728953,728953,"0,41",-,-,11
Île-de-France,Eolien onshore,20306,20306,"0,49",-,-,2
Normandie,Eolien onshore,140326,140326,"0,41",-,-,6
Nouvelle-Aquitaine,Eolien onshore,152380,152380,"0,41",-,-,7
Occitanie,Eolien onshore,175688,175688,"0,41",-,-,6
Pays de la Loire,Eolien onshore,176936,176936,"0,39",-,-,4
Provence-Alpes-Côte d'Azur,Eolien onshore,8144,8144,"0,41",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,180095,180095,"0,47",-,-,14
Bourgogne-Franche-Comté,Hydraulique,24473,24473,"0,43",-,-,3
Bretagne,Hydraulique,1029,1029,"0,42",-,-,1
Centre-Val de Loire,Hydraulique,1942,1942,"0,42",-,-,1
Grand Est,Hydraulique,25491,25491,"0,46",-,-,4
Haut-de-France,Hydraulique,1119,1119,"0,42",-,-,1
Île-de-France,Hydraulique,541,541,"0,42",-,-,2
Normandie,Hydraulique,2110,2110,"0,42",-,-,1
Nouvelle-Aquitaine,Hydraulique,70025,70025,"0,43",-,-,4
Occitanie,Hydraulique,140699,140699,"0,43",-,-,5
Pays de la Loire,Hydraulique,1427,1427,"0,42",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,48100,48100,"0,46",-,-,4
Aggregated Auction Results,,,,,,,
Auvergne-Rhône-Alpes,Solaire,66379,66379,"0,52",-,-,11
Bourgogne-Franche-Comté,Solaire,17582,17582,"0,45",-,-,3
Bretagne,Solaire,6225,6225,"0,4",-,-,4
Centre-Val de Loire,Solaire,20577,20577,"0,48",-,-,5
Grand Est,Solaire,33865,33865,"0,43",-,-,6
Haut-de-France,Solaire,8585,8585,"0,46",-,-,4
Île-de-France,Solaire,4609,4609,"0,51",-,-,6
Normandie,Solaire,9112,9112,"0,56",-,-,2
Nouvelle-Aquitaine,Solaire,214277,214277,"0,41",-,-,14
Occitanie,Solaire,161207,161207,"0,46",-,-,10
Pays de la Loire,Solaire,27661,27661,"0,48",-,-,6
Provence-Alpes-Côte d'Azur,Solaire,143471,143471,"0,51",-,-,11
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,49300,49300,"0,83",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,50869,50869,"0,82",-,-,2
Bretagne,Eolien onshore,38762,38762,"0,8",-,-,3
Centre-Val de Loire,Eolien onshore,57925,57925,"0,82",-,-,2
Grand Est,Eolien onshore,175012,175012,"0,82",-,-,4
Haut-de-France,Eolien onshore,237047,237047,"0,82",-,-,6
Île-de-France,Eolien onshore,5072,5072,"0,82",-,-,1
Normandie,Eolien onshore,32216,32216,"0,82",-,-,2
Nouvelle-Aquitaine,Eolien onshore,42395,42395,"0,83",-,-,5
Occitanie,Eolien onshore,141955,141955,"0,81",-,-,3
Pays de la Loire,Eolien onshore,46052,46052,"0,81",-,-,2
Provence-Alpes-Côte d'Azur,Eolien onshore,6653,6653,"0,82",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,156098,156098,"0,74",-,-,11
Bourgogne-Franche-Comté,Hydraulique,17378,17378,"0,66",-,-,2
Bretagne,Hydraulique,383,383,"0,65",-,-,1
Centre-Val de Loire,Hydraulique,1551,1551,"0,65",-,-,1
Grand Est,Hydraulique,21009,21009,"0,7",-,-,4
Haut-de-France,Hydraulique,1026,1026,"0,65",-,-,1
Île-de-France,Hydraulique,492,492,"0,65",-,-,1
Normandie,Hydraulique,2507,2507,"0,66",-,-,2
Nouvelle-Aquitaine,Hydraulique,48939,48939,"0,7",-,-,6
Occitanie,Hydraulique,98395,98395,"0,68",-,-,5
Pays de la Loire,Hydraulique,937,937,"0,7",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,40955,40955,"0,67",-,-,5
Auvergne-Rhône-Alpes,Solaire,68736,68736,"0,82",-,-,2
Bourgogne-Franche-Comté,Solaire,19117,19117,"0,82",-,-,1
Bretagne,Solaire,5704,5704,"0,82",-,-,1
Centre-Val de Loire,Solaire,20302,20302,"0,88",-,-,3
Grand Est,Solaire,36968,36968,"0,82",-,-,1
Haut-de-France,Solaire,8260,8260,"0,85",-,-,2
Île-de-France,Solaire,4880,4880,"0,82",-,-,1
Normandie,Solaire,8290,8290,"0,82",-,-,1
Nouvelle-Aquitaine,Solaire,218963,218963,"0,82",-,-,5
Occitanie,Solaire,166367,166367,"0,82",-,-,2
Pays de la Loire,Solaire,24994,24994,"0,82",-,-,1
Provence-Alpes-Côte d'Azur,Solaire,144482,144482,"0,8",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,54577,54577,"1,13",-,-,5
Bourgogne-Franche-Comté,Eolien onshore,104479,104479,"0,83",-,-,4
Bretagne,Eolien onshore,101875,101875,"0,81",-,-,5
Centre-Val de Loire,Eolien onshore,150543,150543,"0,8",-,-,6
Grand Est,Eolien onshore,430669,430669,"0,74",-,-,9
Haut-de-France,Eolien onshore,502445,502445,"0,72",-,-,14
