RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Bourgogne-Franche-ComtÃ©,Solaire,5948,5948,"7,7",-,-,1
Bretagne,Solaire,2481,2481,"8,05",-,-,3
Centre-Val de Loire,Solaire,12110,12110,"7,73",-,-,2
Grand Est,Solaire,12137,12137,"7,4",-,-,4
Haut-de-France,Solaire,6532,6532,"7,42",-,-,4
ÃŽle-de-France,Solaire,1978,1978,"7,13",-,-,3
Normandie,Solaire,2418,2418,"7,63",-,-,2
Nouvelle-Aquitaine,Solaire,80078,80078,"7,38",-,-,9
Occitanie,Solaire,83036,83036,"7,29",-,-,10
Pays de la Loire,Solaire,8826,8826,"7,4",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,88081,88081,"7,32",-,-,10
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,54775,54775,"7,89",-,-,4
Bourgogne-Franche-ComtÃ©,Eolien onshore,137038,137038,"7,6",-,-,2
Bretagne,Eolien onshore,76387,76387,"7,82",-,-,5
Centre-Val de Loire,Eolien onshore,147039,147039,"7,33",-,-,5
Grand Est,Eolien onshore,466809,466809,"7,47",-,-,7
Haut-de-France,Eolien onshore,717659,717659,"7,53",-,-,11
ÃŽle-de-France,Eolien onshore,19824,19824,"7,52",-,-,5
Normandie,Eolien onshore,97498,97498,"7,31",-,-,3
Nouvelle-Aquitaine,Eolien onshore,139141,139141,"7,59",-,-,6
Occitanie,Eolien onshore,153167,153167,"7,49",-,-,4
Pays de la Loire,Eolien onshore,114767,114767,"7,47",-,-,10
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,9425,9425,"7,6",-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,52023,52023,"7,41",-,-,3
Bourgogne-Franche-ComtÃ©,Hydraulique,11806,11806,"7,53",-,-,2
Bretagne,Hydraulique,2377,2377,"7,26",-,-,1
Centre-Val de Loire,Hydraulique,833,833,"7,26",-,-,2
Grand Est,Hydraulique,19083,19083,"7,59",-,-,3
Haut-de-France,Hydraulique,1250,1250,"7,29",-,-,2
ÃŽle-de-France,Hydraulique,1433,1433,"7,26",-,-,1
Normandie,Hydraulique,878,878,"7,41",-,-,1
Nouvelle-Aquitaine,Hydraulique,27489,27489,"7,7",-,-,4
Occitanie,Hydraulique,47603,47603,"7,38",-,-,5
Pays de la Loire,Hydraulique,2059,2059,"7,41",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,10156,10156,"7,43",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,58705,58705,"7,69",-,-,6
Bourgogne-Franche-ComtÃ©,Solaire,18180,18180,"7,61",-,-,2
Bretagne,Solaire,4900,4900,"8,12",-,-,3
Centre-Val de Loire,Solaire,25671,25671,"7,9",-,-,3
Grand Est,Solaire,32860,32860,"7,86",-,-,2
Haut-de-France,Solaire,14240,14240,"8,01",-,-,3
ÃŽle-de-France,Solaire,4730,4730,"7,89",-,-,3
Normandie,Solaire,5635,5635,"7,83",-,-,2
Nouvelle-Aquitaine,Solaire,187193,187193,"7,59",-,-,9
Occitanie,Solaire,152230,152230,"7,39",-,-,10
Pays de la Loire,Solaire,17431,17431,"7,99",-,-,3
Provence-Alpes-CÃ´te d'Azur,Solaire,118324,118324,"7,3",-,-,8
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,90657,90657,"6,31",-,-,5
Bourgogne-Franche-ComtÃ©,Eolien onshore,242377,242377,"6,12",-,-,6
Bretagne,Eolien onshore,187208,187208,"6,23",-,-,6
Centre-Val de Loire,Eolien onshore,275529,275529,"6,21",-,-,8
Grand Est,Eolien onshore,806472,806472,"6,01",-,-,12
Haut-de-France,Eolien onshore,1293182,1293182,"6,01",-,-,20
ÃŽle-de-France,Eolien onshore,37323,37323,"6,33",-,-,4
Normandie,Eolien onshore,209940,209940,"5,69",-,-,7
Nouvelle-Aquitaine,Eolien onshore,243831,243831,"5,8",-,-,8
Occitanie,Eolien onshore,187854,187854,"6,01",-,-,4
Pays de la Loire,Eolien onshore,231550,231550,"5,95",-,-,12
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,14836,14836,"5,8",-,-,2
Auvergne-RhÃ´ne-Alpes,Hydraulique,89889,89889,"6,28",-,-,6
Bourgogne-Franche-ComtÃ©,Hydraulique,19374,19374,"6,12",-,-,1
Bretagne,Hydraulique,2851,2851,"6,11",-,-,2
Centre-Val de Loire,Hydraulique,1231,1231,"6,11",-,-,1
Grand Est,Hydraulique,22924,22924,"6,14",-,-,3
Haut-de-France,Hydraulique,1325,1325,"6,11",-,-,1
ÃŽle-de-France,Hydraulique,1406,1406,"6,11",-,-,1
Normandie,Hydraulique,1965,1965,"6,01",-,-,1
Nouvelle-Aquitaine,Hydraulique,52956,52956,"6,13",-,-,7
Occitanie,Hydraulique,75643,75643,"5,85",-,-,5
Pays de la Loire,Hydraulique,2509,2509,"6,01",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,19313,19313,"6,3",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,77112,77112,"6,39",-,-,7
Bourgogne-Franche-ComtÃ©,Solaire,24525,24525,"6,5",-,-,1
Bretagne,Solaire,6173,6173,"6,83",-,-,3
Centre-Val de Loire,Solaire,35143,35143,"6,55",-,-,3
Grand Est,Solaire,47732,47732,"6,2",-,-,5
Haut-de-France,Solaire,19125,19125,"6,25",-,-,3
ÃŽle-de-France,Solaire,6768,6768,"6,06",-,-,2
Normandie,Solaire,7240,7240,"5,76",-,-,2
Nouvelle-Aquitaine,Solaire,216251,216251,"5,98",-,-,12
Occitanie,Solaire,200051,200051,"5,77",-,-,6
Pays de la Loire,Solaire,24982,24982,"5,79",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,169720,169720,"5,63",-,-,7
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,62065,62065,"6,21",-,-,6
Bourgogne-Franche-ComtÃ©,Eolien onshore,165732,165732,"5,87",-,-,4
Bretagne,Eolien onshore,90159,90159,"6,17",-,-,6
Centre-Val de Loire,Eolien onshore,181887,181887,6,-,-,5
Grand Est,Eolien onshore,502926,502926,"5,85",-,-,15
Haut-de-France,Eolien onshore,742068,742068,"5,7",-,-,14
ÃŽle-de-France,Eolien onshore,25115,25115,"5,98",-,-,5
Normandie,Eolien onshore,117307,117307,"5,6",-,-,3
Nouvelle-Aquitaine,Eolien onshore,192065,192065,"5,66",-,-,6
Occitanie,Eolien onshore,174849,174849,"6,06",-,-,6
Pays de la Loire,Eolien onshore,132440,132440,"6,18",-,-,7
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,14895,14895,"5,86",-,-,2
Auvergne-RhÃ´ne-Alpes,Hydraulique,90087,90087,"5,96",-,-,6
Bourgogne-Franche-ComtÃ©,Hydraulique,21559,21559,"5,67",-,-,3
Bretagne,Hydraulique,2790,2790,"5,57",-,-,1
Centre-Val de Loire,Hydraulique,1216,1216,"5,59",-,-,2
Grand Est,Hydraulique,23753,23753,"5,71",-,-,4
Haut-de-France,Hydraulique,1445,1445,"5,61",-,-,1
ÃŽle-de-France,Hydraulique,1465,1465,"5,57",-,-,1
Normandie,Hydraulique,2022,2022,"5,71",-,-,2
Nouvelle-Aquitaine,Hydraulique,40458,40458,"5,7",-,-,3
Occitanie,Hydraulique,73695,73695,"5,89",-,-,4
Pays de la Loire,Hydraulique,2674,2674,"5,62",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,21340,21340,"5,79",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,93299,93299,"5,99",-,-,12
Bourgogne-Franche-ComtÃ©,Solaire,30507,30507,"5,79",-,-,3
Bretagne,Solaire,9814,9814,"5,93",-,-,3
Centre-Val de Loire,Solaire,47828,47828,"5,95",-,-,5
Grand Est,Solaire,60609,60609,"5,89",-,-,2
Haut-de-France,Solaire,28045,28045,"5,94",-,-,5
ÃŽle-de-France,Solaire,11166,11166,"5,69",-,-,3
Normandie,Solaire,9818,9818,"5,66",-,-,2
Nouvelle-Aquitaine,Solaire,306883,306883,"5,73",-,-,16
Occitanie,Solaire,241958,241958,"6,21",-,-,8
Pays de la Loire,Solaire,35111,35111,"5,71",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,200381,200381,"5,86",-,-,11
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,53913,53913,"5,79",-,-,2
Bourgogne-Franche-ComtÃ©,Eolien onshore,156763,156763,"5,54",-,-,3
Bretagne,Eolien onshore,110476,110476,"5,56",-,-,5
Centre-Val de Loire,Eolien onshore,179080,179080,"5,46",-,-,7
Grand Est,Eolien onshore,466823,466823,"5,1",-,-,10
Haut-de-France,Eolien onshore,688870,688870,"4,97",-,-,16
ÃŽle-de-France,Eolien onshore,26213,26213,"5,23",-,-,4
Normandie,Eolien onshore,105132,105132,"5,33",-,-,5
Nouvelle-Aquitaine,Eolien onshore,191494,191494,"5,09",-,-,11
Occitanie,Eolien onshore,154356,154356,"5,37",-,-,5
Pays de la Loire,Eolien onshore,143281,143281,"5,26",-,-,10
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,7639,7639,"4,91",-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,101342,101342,"5,77",-,-,7
Bourgogne-Franche-ComtÃ©,Hydraulique,15760,15760,"5,35",-,-,1
Bretagne,Hydraulique,1504,1504,"5,2",-,-,1
Centre-Val de Loire,Hydraulique,958,958,"4,91",-,-,1
Grand Est,Hydraulique,19702,19702,"5,45",-,-,2
Haut-de-France,Hydraulique,1216,1216,"4,91",-,-,1
ÃŽle-de-France,Hydraulique,1360,1360,"4,94",-,-,1
Normandie,Hydraulique,1676,1676,"5,02",-,-,1
Nouvelle-Aquitaine,Hydraulique,32458,32458,"5,08",-,-,4
Occitanie,Hydraulique,85357,85357,"4,91",-,-,3
Pays de la Loire,Hydraulique,1926,1926,"4,91",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,28500,28500,"5,17",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,105016,105016,"5,76",-,-,6
Bourgogne-Franche-ComtÃ©,Solaire,38768,38768,"5,6",-,-,1
Bretagne,Solaire,12325,12325,"5,91",-,-,3
Centre-Val de Loire,Solaire,58695,58695,"5,66",-,-,4
Grand Est,Solaire,88710,88710,"5,44",-,-,1
Haut-de-France,Solaire,36826,36826,"5,37",-,-,2
ÃŽle-de-France,Solaire,14617,14617,"5,13",-,-,4
Normandie,Solaire,12995,12995,"4,91",-,-,1
Nouvelle-Aquitaine,Solaire,357880,357880,"5,13",-,-,13
Occitanie,Solaire,262939,262939,"4,98",-,-,6
Pays de la Loire,Solaire,44706,44706,"5,06",-,-,5
Provence-Alpes-CÃ´te d'Azur,Solaire,196595,196595,"5,13",-,-,11
