RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Auvergne-RhÃ´ne-Alpes,Eolien onshore,84450,84450,"7,82",-,-,6
Bourgogne-Franche-ComtÃ©,Eolien onshore,257645,257645,"7,66",-,-,6
Bretagne,Eolien onshore,155489,155488,"7,7",-,-,5
Centre-Val de Loire,Eolien onshore,293704,293704,"7,64",-,-,8
Grand Est,Eolien onshore,825645,825645,"7,47",-,-,15
Haut-de-France,Eolien onshore,1323934,1323934,"7,29",-,-,15
ÃŽle-de-France,Eolien onshore,38136,38136,"7,56",-,-,4
Normandie,Eolien onshore,199500,199500,"7,32",-,-,6
Nouvelle-Aquitaine,Eolien onshore,264257,264257,"7,07",-,-,11
Occitanie,Eolien onshore,193286,193286,"7,79",-,-,3
Pays de la Loire,Eolien onshore,215607,215607,"7,65",-,-,8
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,16619,16619,"6,91",-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,83741,83741,"7,57",-,-,4
Bourgogne-Franche-ComtÃ©,Hydraulique,20329,20329,"7,49",-,-,2
Bretagne,Hydraulique,5587,5587,"7,12",-,-,1
Centre-Val de Loire,Hydraulique,1241,1241,"7,09",-,-,1
Grand Est,Hydraulique,23206,23206,"7,7",-,-,1
Haut-de-France,Hydraulique,1316,1316,"7,28",-,-,3
ÃŽle-de-France,Hydraulique,1023,1023,"7,32",-,-,2
Normandie,Hydraulique,1381,1381,"7,09",-,-,1
Nouvelle-Aquitaine,Hydraulique,40016,40016,"7,45",-,-,4
Occitanie,Hydraulique,66145,66145,"7,32",-,-,7
Pays de la Loire,Hydraulique,2670,2670,"7,09",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,15727,15727,"7,55",-,-,4
Auvergne-RhÃ´ne-Alpes,Solaire,24216,24216,"7,25",-,-,6
