RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Bretagne,Hydraulique,3141,3141,"1,88",-,-,1/1/1900
Centre-Val de Loire,Hydraulique,3860,3860,"1,87",-,-,31/12/1899
Grand Est,Hydraulique,33129,33129,"1,87",-,-,31/12/1899
Haut-de-France,Hydraulique,1663,1663,"1,87",-,-,31/12/1899
ÃŽle-de-France,Hydraulique,825,825,"1,87",-,-,31/12/1899
Normandie,Hydraulique,3428,3428,"1,87",-,-,31/12/1899
Nouvelle-Aquitaine,Hydraulique,98061,98061,"1,9",-,-,2/1/1900
Occitanie,Hydraulique,189113,189113,"1,9",-,-,3/1/1900
Pays de la Loire,Hydraulique,2545,2545,"1,87",-,-,31/12/1899
Provence-Alpes-CÃ´te d'Azur,Hydraulique,16513,16513,"1,87",-,-,2/1/1900
Auvergne-RhÃ´ne-Alpes,Solaire,74278,74278,"2,03",-,-,7/1/1900
Bourgogne-Franche-ComtÃ©,Solaire,24700,24700,"2,01",-,-,31/12/1899
Bretagne,Solaire,7855,7855,"1,87",-,-,4/1/1900
Centre-Val de Loire,Solaire,30684,30684,"1,89",-,-,6/1/1900
Grand Est,Solaire,57598,57598,"1,86",-,-,3/1/1900
Haut-de-France,Solaire,22884,22884,"2,11",-,-,4/1/1900
ÃŽle-de-France,Solaire,5681,5681,"1,92",-,-,3/1/1900
Normandie,Solaire,9380,9380,"1,83",-,-,2/1/1900
Nouvelle-Aquitaine,Solaire,213635,213635,"1,84",-,-,8/1/1900
Occitanie,Solaire,153943,153943,"1,96",-,-,6/1/1900
Pays de la Loire,Solaire,23768,23768,"1,91",-,-,4/1/1900
Provence-Alpes-CÃ´te d'Azur,Solaire,128187,128187,"1,92",-,-,7/1/1900
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,82955,82955,"2,2",-,-,3/1/1900
Bourgogne-Franche-ComtÃ©,Eolien onshore,154363,154363,"2,33",-,-,3/1/1900
Bretagne,Eolien onshore,116920,116920,"2,3",-,-,2/1/1900
Centre-Val de Loire,Eolien onshore,197773,197773,"2,3",-,-,2/1/1900
Grand Est,Eolien onshore,660721,660721,"2,28",-,-,8/1/1900
Haut-de-France,Eolien onshore,894229,894229,"2,22",-,-,10/1/1900
ÃŽle-de-France,Eolien onshore,20664,20664,"2,28",-,-,2/1/1900
Normandie,Eolien onshore,125944,125944,"2,2",-,-,1/1/1900
Nouvelle-Aquitaine,Eolien onshore,160190,160190,"2,2",-,-,1/1/1900
Occitanie,Eolien onshore,257769,257769,"2,23",-,-,4/1/1900
Pays de la Loire,Eolien onshore,148104,148104,"2,2",-,-,3/1/1900
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,11470,11470,"2,3",-,-,31/12/1899
Auvergne-RhÃ´ne-Alpes,Hydraulique,163038,163038,"2,25",-,-,6/1/1900
Bourgogne-Franche-ComtÃ©,Hydraulique,22917,22917,"2,24",-,-,1/1/1900
Bretagne,Hydraulique,1652,1652,"2,24",-,-,31/12/1899
Centre-Val de Loire,Hydraulique,3899,3899,"2,24",-,-,1/1/1900
Grand Est,Hydraulique,33115,33115,"2,25",-,-,1/1/1900
Haut-de-France,Hydraulique,1453,1453,"2,24",-,-,31/12/1899
ÃŽle-de-France,Hydraulique,1174,1174,"2,15",-,-,31/12/1899
Normandie,Hydraulique,3121,3121,"2,24",-,-,31/12/1899
Nouvelle-Aquitaine,Hydraulique,106310,106310,"2,24",-,-,2/1/1900
Occitanie,Hydraulique,208965,208965,"2,25",-,-,3/1/1900
Pays de la Loire,Hydraulique,1845,1845,"2,24",-,-,31/12/1899
Provence-Alpes-CÃ´te d'Azur,Hydraulique,27917,27917,"2,25",-,-,3/1/1900
Auvergne-RhÃ´ne-Alpes,Solaire,77722,77722,"2,25",-,-,4/1/1900
Bourgogne-Franche-ComtÃ©,Solaire,23775,23774,"2,18",-,-,2/1/1900
