RÃ©gion / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (â‚¬ / MWh),Number of winners per couple region/technology
Nouvelle-Aquitaine,Solaire,171343,171343,"7,41",-,-,11
Occitanie,Solaire,147566,147566,"7,24",-,-,9
Pays de la Loire,Solaire,19473,19473,"7,78",-,-,4
Provence-Alpes-CÃ´te d'Azur,Solaire,120469,120469,"7,49",-,-,8
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,80041,80041,"6,08",-,-,7
Bourgogne-Franche-ComtÃ©,Eolien onshore,202097,202097,"5,58",-,-,9
Bretagne,Eolien onshore,179482,179482,"5,5",-,-,3
Centre-Val de Loire,Eolien onshore,246723,246723,"4,98",-,-,5
Grand Est,Eolien onshore,630397,630397,"5,15",-,-,12
Haut-de-France,Eolien onshore,1180587,1180587,"4,92",-,-,13
ÃŽle-de-France,Eolien onshore,29667,29667,"4,85",-,-,4
Normandie,Eolien onshore,197302,197302,"4,02",-,-,7
Nouvelle-Aquitaine,Eolien onshore,222239,222239,"4,54",-,-,8
Occitanie,Eolien onshore,184145,184145,"3,7",-,-,3
Pays de la Loire,Eolien onshore,199883,199883,"3,78",-,-,8
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,9654,9654,"5,17",-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,78369,78369,"5,54",-,-,5
Bourgogne-Franche-ComtÃ©,Hydraulique,19928,19928,"5,5",-,-,1
Bretagne,Hydraulique,1458,365,"5,48",-,-,1
Centre-Val de Loire,Hydraulique,593,593,"5,48",-,-,1
Grand Est,Hydraulique,22873,22873,"5,48",-,-,1
Haut-de-France,Hydraulique,493,493,"5,48",-,-,1
ÃŽle-de-France,Hydraulique,676,676,"5,48",-,-,1
Normandie,Hydraulique,1260,208,"5,1",-,-,1
Nouvelle-Aquitaine,Hydraulique,22177,22177,"5,11",-,-,3
Occitanie,Hydraulique,29155,29155,"5,12",-,-,2
Pays de la Loire,Hydraulique,953,-,-,-,-,0
Provence-Alpes-CÃ´te d'Azur,Hydraulique,15764,15764,"5,3",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,34016,34016,"5,9",-,-,4
Bourgogne-Franche-ComtÃ©,Solaire,9349,9349,"5,52",-,-,2
Bretagne,Solaire,3670,2659,"5,11",-,-,2
Centre-Val de Loire,Solaire,14469,14469,"5,53",-,-,2
Grand Est,Solaire,18299,18299,"5,43",-,-,3
Haut-de-France,Solaire,8382,3318,"6,55",-,-,1
ÃŽle-de-France,Solaire,2364,2364,"5,23",-,-,2
Normandie,Solaire,3408,-,-,-,-,0
Nouvelle-Aquitaine,Solaire,115613,115613,"4,77",-,-,8
Occitanie,Solaire,100564,100564,"4,55",-,-,6
Pays de la Loire,Solaire,12603,12603,"5,55",-,-,3
Provence-Alpes-CÃ´te d'Azur,Solaire,84969,23299,"1,13",-,-,4
,,,,,,,
Auvergne-RhÃ´ne-Alpes,Eolien onshore,75391,75391,"7,04",-,-,1
Bourgogne-Franche-ComtÃ©,Eolien onshore,218284,218284,"6,62",-,-,3
Bretagne,Eolien onshore,143651,143651,"6,2",-,-,6
Centre-Val de Loire,Eolien onshore,227459,227459,"6,05",-,-,6
Grand Est,Eolien onshore,667932,667932,"6,17",-,-,5
Haut-de-France,Eolien onshore,970307,970307,"6,03",-,-,12
ÃŽle-de-France,Eolien onshore,29096,29096,"5,57",-,-,2
Normandie,Eolien onshore,152635,152635,"5,24",-,-,2
Nouvelle-Aquitaine,Eolien onshore,282964,282964,"5,41",-,-,10
Occitanie,Eolien onshore,98923,98923,"5,1",-,-,5
Pays de la Loire,Eolien onshore,207710,207710,"5,08",-,-,11
Provence-Alpes-CÃ´te d'Azur,Eolien onshore,13695,13695,"5,1",-,-,1
Auvergne-RhÃ´ne-Alpes,Hydraulique,95909,95909,"5,65",-,-,5
Bourgogne-Franche-ComtÃ©,Hydraulique,18987,18987,"6,3",-,-,1
Bretagne,Hydraulique,4009,4009,"6,3",-,-,1
Centre-Val de Loire,Hydraulique,983,983,"6,3",-,-,1
Grand Est,Hydraulique,21834,21834,"6,13",-,-,2
Haut-de-France,Hydraulique,778,778,"6,3",-,-,1
ÃŽle-de-France,Hydraulique,1167,1167,"6,3",-,-,1
Normandie,Hydraulique,1522,1522,"6,3",-,-,1
Nouvelle-Aquitaine,Hydraulique,35950,35950,"5,96",-,-,4
Occitanie,Hydraulique,63940,63940,"5,96",-,-,4
Pays de la Loire,Hydraulique,1642,1642,"6,3",-,-,1
Provence-Alpes-CÃ´te d'Azur,Hydraulique,17871,17871,"6,32",-,-,3
Auvergne-RhÃ´ne-Alpes,Solaire,21686,21686,"6,02",-,-,4
Bourgogne-Franche-ComtÃ©,Solaire,6616,6616,"6,21",-,-,2
Bretagne,Solaire,2058,2058,"7,2",-,-,4
Centre-Val de Loire,Solaire,8748,8748,"6,49",-,-,2
Grand Est,Solaire,10785,10785,"6,3",-,-,2
Haut-de-France,Solaire,5194,5194,"6,88",-,-,2
ÃŽle-de-France,Solaire,1566,1566,"6,32",-,-,3
Normandie,Solaire,1915,1915,"6,23",-,-,3
Nouvelle-Aquitaine,Solaire,84604,84604,"6,42",-,-,9
Occitanie,Solaire,73373,73373,"5,57",-,-,7
Pays de la Loire,Solaire,6877,6877,"6,6",-,-,5
Provence-Alpes-CÃ´te d'Azur,Solaire,59223,59223,"4,94",-,-,4
