Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Bourgogne-Franche-Comté,Eolien onshore,110450,110450,"0,35",-,-,2
Nouvelle-Aquitaine,Eolien onshore,64387,64387,"0,34",-,-,4
Île-de-France,Eolien onshore,8096,8096,"0,3",-,-,1
Bretagne,Eolien onshore,124343,124343,"0,35",-,-,5
Provence-Alpes-Côte d'Azur,Eolien onshore,5171,5171,"0,35",-,-,1
Auvergne-Rhône-Alpes,Eolien onshore,78803,78803,"0,35",-,-,1
Occitanie,Eolien onshore,168407,168407,"0,27",-,-,2
Normandie,Eolien onshore,120912,120912,"0,29",-,-,2
Pays de la Loire,Eolien onshore,119624,119624,"0,27",-,-,1
Centre-Val de Loire,Eolien onshore,141353,141353,"0,34",-,-,3
Grand Est,Eolien onshore,531533,531533,"0,31",-,-,3
Haut-de-France,Eolien onshore,566308,566308,"0,3",-,-,3
Pays de la Loire,Hydraulique,1554,1554,"0,22",-,-,1
Normandie,Hydraulique,3065,3065,"0,22",-,-,1
Centre-Val de Loire,Hydraulique,1679,1679,"0,22",-,-,1
Auvergne-Rhône-Alpes,Hydraulique,72329,72329,"0,27",-,-,5
Bretagne,Hydraulique,1918,1918,"0,22",-,-,1
Bourgogne-Franche-Comté,Hydraulique,16487,16487,"0,28",-,-,2
Île-de-France,Hydraulique,721,721,"0,22",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,11445,11445,"0,24",-,-,3
Haut-de-France,Hydraulique,659,659,"0,22",-,-,1
Grand Est,Hydraulique,18650,18650,"0,26",-,-,2
Occitanie,Hydraulique,76070,76070,"0,24",-,-,3
Nouvelle-Aquitaine,Hydraulique,46233,46233,"0,27",-,-,3
Auvergne-Rhône-Alpes,Solaire,18906,18906,"0,32",-,-,3
Centre-Val de Loire,Solaire,5592,5592,"0,28",-,-,1
Pays de la Loire,Solaire,7032,7032,"0,28",-,-,1
Grand Est,Solaire,11103,11103,"0,28",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,40833,40833,"0,28",-,-,2
Île-de-France,Solaire,372,372,"0,96",-,-,2
Occitanie,Solaire,39228,39228,"0,32",-,-,2
Bretagne,Solaire,1645,1645,"0,3",-,-,1
Bourgogne-Franche-Comté,Solaire,7806,7806,"0,28",-,-,1
Nouvelle-Aquitaine,Solaire,60417,60417,"0,3",-,-,1
Haut-de-France,Solaire,1234,1234,"0,31",-,-,2
Normandie,Solaire,1424,1424,"0,3",-,-,1
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,59529,59529,"0,78",-,-,8
Pays de la Loire,Eolien onshore,66894,66894,"0,7",-,-,5
Île-de-France,Eolien onshore,4312,4312,"0,77",-,-,2
Occitanie,Eolien onshore,142346,142346,"0,73",-,-,7
Nouvelle-Aquitaine,Eolien onshore,34380,34380,"0,61",-,-,8
Grand Est,Eolien onshore,244520,244520,"0,52",-,-,10
Bourgogne-Franche-Comté,Eolien onshore,52420,52420,"0,76",-,-,6
Centre-Val de Loire,Eolien onshore,70497,70497,"0,47",-,-,6
Bretagne,Eolien onshore,66592,66592,"0,59",-,-,6
Provence-Alpes-Côte d'Azur,Eolien onshore,4952,4952,"0,38",-,-,2
Haut-de-France,Eolien onshore,253275,253275,"0,68",-,-,9
Normandie,Eolien onshore,55367,55367,"0,42",-,-,5
Occitanie,Hydraulique,77803,77803,"0,31",-,-,10
Haut-de-France,Hydraulique,700,700,"0,54",-,-,2
Centre-Val de Loire,Hydraulique,482,482,"0,32",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,69936,69936,"0,39",-,-,8
Nouvelle-Aquitaine,Hydraulique,40756,40756,"0,31",-,-,7
Pays de la Loire,Hydraulique,1073,1073,"0,83",-,-,2
Bretagne,Hydraulique,1222,1222,"0,29",-,-,3
Bourgogne-Franche-Comté,Hydraulique,10549,10549,"0,37",-,-,4
Grand Est,Hydraulique,12298,12298,"0,25",-,-,2
Île-de-France,Hydraulique,678,678,"0,42",-,-,3
Provence-Alpes-Côte d'Azur,Hydraulique,17960,17960,"0,51",-,-,2
Normandie,Hydraulique,2174,2174,"0,97",-,-,3
Normandie,Solaire,2165,2165,"1,56",-,-,2
Bourgogne-Franche-Comté,Solaire,8868,8868,"0,78",-,-,3
Auvergne-Rhône-Alpes,Solaire,19591,19591,"1,3",-,-,3
Occitanie,Solaire,38110,38110,"1,38",-,-,4
Nouvelle-Aquitaine,Solaire,61314,61314,"1,01",-,-,6
Île-de-France,Solaire,522,522,"1,51",-,-,2
Bretagne,Solaire,2098,2098,"1,29",-,-,2
Haut-de-France,Solaire,1905,1905,"1,2",-,-,3
Grand Est,Solaire,13081,13081,"0,55",-,-,3
Provence-Alpes-Côte d'Azur,Solaire,37619,37619,"0,89",-,-,7
Pays de la Loire,Solaire,8401,8401,"1,36",-,-,2
Centre-Val de Loire,Solaire,7068,7068,"0,59",-,-,3
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,68217,68217,"0,63",-,-,4
Bourgogne-Franche-Comté,Eolien onshore,55614,55614,"0,53",-,-,4
Bretagne,Eolien onshore,51365,51365,"0,51",-,-,2
Centre-Val de Loire,Eolien onshore,69169,69169,"0,57",-,-,3
Grand Est,Eolien onshore,221831,221831,"0,51",-,-,5
Haut-de-France,Eolien onshore,235398,235398,"0,45",-,-,7
Île-de-France,Eolien onshore,4598,4598,"0,5",-,-,1
Normandie,Eolien onshore,44766,44766,"0,46",-,-,3
Nouvelle-Aquitaine,Eolien onshore,36711,36711,"0,43",-,-,4
Occitanie,Eolien onshore,161929,161929,"0,69",-,-,5
Pays de la Loire,Eolien onshore,62269,62269,"0,54",-,-,2
Provence-Alpes-Côte d'Azur,Eolien onshore,5982,5982,"0,55",-,-,3
Auvergne-Rhône-Alpes,Hydraulique,95025,95025,"0,35",-,-,9
Bourgogne-Franche-Comté,Hydraulique,10384,10384,"0,31",-,-,2
Bretagne,Hydraulique,660,660,"0,3",-,-,2
Centre-Val de Loire,Hydraulique,625,625,"0,3",-,-,2
Grand Est,Hydraulique,12821,12821,"0,3",-,-,2
Haut-de-France,Hydraulique,439,439,"0,32",-,-,2
Île-de-France,Hydraulique,663,663,"0,3",-,-,2
Normandie,Hydraulique,1168,1168,"0,33",-,-,2
Nouvelle-Aquitaine,Hydraulique,45806,45806,"0,31",-,-,4
Occitanie,Hydraulique,94675,94675,"0,29",-,-,4
Pays de la Loire,Hydraulique,673,673,"0,34",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,27854,27854,"0,36",-,-,6
Auvergne-Rhône-Alpes,Solaire,23216,23216,"1,04",-,-,8
Bourgogne-Franche-Comté,Solaire,10324,10324,"0,63",-,-,3
Bretagne,Solaire,2470,2470,"0,46",-,-,3
Centre-Val de Loire,Solaire,7303,7303,"0,4",-,-,2
Grand Est,Solaire,16012,16012,"0,42",-,-,4
Haut-de-France,Solaire,2284,2284,"0,4",-,-,2
Île-de-France,Solaire,460,460,"0,93",-,-,2
Normandie,Solaire,2461,2461,"0,89",-,-,3
Nouvelle-Aquitaine,Solaire,73305,73305,"0,67",-,-,3
Occitanie,Solaire,47537,47537,"0,58",-,-,4
Pays de la Loire,Solaire,9695,9695,"0,8",-,-,4
Provence-Alpes-Côte d'Azur,Solaire,45282,45282,"0,75",-,-,6
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,39104,39104,"0,63",-,-,2
Bourgogne-Franche-Comté,Eolien onshore,44539,44539,"0,56",-,-,3
Bretagne,Eolien onshore,45956,45956,"0,52",-,-,2
Centre-Val de Loire,Eolien onshore,59029,59029,"0,52",-,-,2
Grand Est,Eolien onshore,200170,200170,"0,49",-,-,4
Haut-de-France,Eolien onshore,247397,247397,"0,51",-,-,7
Île-de-France,Eolien onshore,3909,3909,"0,5",-,-,1
Normandie,Eolien onshore,46442,46442,"0,37",-,-,3
Nouvelle-Aquitaine,Eolien onshore,24622,24622,"0,55",-,-,3
Occitanie,Eolien onshore,91054,91054,"0,67",-,-,5
Pays de la Loire,Eolien onshore,50961,50961,"0,53",-,-,2
Provence-Alpes-Côte d'Azur,Eolien onshore,2495,2495,"0,51",-,-,3
Auvergne-Rhône-Alpes,Hydraulique,88207,88207,"0,34",-,-,5
Bourgogne-Franche-Comté,Hydraulique,5915,5915,"0,3",-,-,2
Bretagne,Hydraulique,561,561,"0,3",-,-,2
Centre-Val de Loire,Hydraulique,411,411,"0,3",-,-,2
Grand Est,Hydraulique,5971,5971,"0,3",-,-,1
Haut-de-France,Hydraulique,429,429,"0,31",-,-,2
Île-de-France,Hydraulique,383,383,"0,31",-,-,2
Normandie,Hydraulique,980,980,"0,33",-,-,2
Nouvelle-Aquitaine,Hydraulique,33804,33804,"0,31",-,-,4
Occitanie,Hydraulique,74606,74606,"0,34",-,-,2
Pays de la Loire,Hydraulique,476,476,"0,32",-,-,2
Provence-Alpes-Côte d'Azur,Hydraulique,27046,27046,"0,32",-,-,2
Auvergne-Rhône-Alpes,Solaire,25200,25200,"0,85",-,-,5
Bourgogne-Franche-Comté,Solaire,10851,10851,"0,54",-,-,3
Bretagne,Solaire,2337,2337,"0,51",-,-,3
Centre-Val de Loire,Solaire,7873,7873,"0,36",-,-,2
Grand Est,Solaire,18370,18370,"0,43",-,-,6
Haut-de-France,Solaire,2446,2446,"0,61",-,-,3
Île-de-France,Solaire,627,627,"0,74",-,-,2
Normandie,Solaire,2457,2457,"0,92",-,-,3
Nouvelle-Aquitaine,Solaire,77369,77369,"0,65",-,-,7
Occitanie,Solaire,49835,49835,"0,49",-,-,4
Pays de la Loire,Solaire,10023,10023,"0,77",-,-,3
